x,y
0,0.205485102498
1,0.205525302239
2,0.205565449755
3,0.205605545046
4,0.205645588111
5,0.205685578951
6,0.205725517566
7,0.205765403955
8,0.205805238118
9,0.205845020056
10,0.205884749769
11,0.205924427256
12,0.205964052518
13,0.206003625554
14,0.206043146365
15,0.206082614951
16,0.206122031311
17,0.206161395446
18,0.206200707355
19,0.206239967039
20,0.206279174497
21,0.20631832973
22,0.206357432737
23,0.206396483519
24,0.206435482076
25,0.206474428407
26,0.206513322513
27,0.206552164393
28,0.206590954048
29,0.206629691478
30,0.206668376682
31,0.20670700966
32,0.206745590413
33,0.206784118941
34,0.206822595243
35,0.20686101932
36,0.206899391172
37,0.206937710798
38,0.206975978198
39,0.207014193373
40,0.207052356323
41,0.207090467047
42,0.207128525546
43,0.20716653182
44,0.207204485868
45,0.20724238769
46,0.207280237287
47,0.207318034659
48,0.207355779805
49,0.207393472726
50,0.207431113421
51,0.207468701891
52,0.207506238136
53,0.207543722155
54,0.207581153948
55,0.207618533517
56,0.207655860859
57,0.207693135977
58,0.207730358869
59,0.207767529535
60,0.207804647976
61,0.207841714192
62,0.207878728182
63,0.207915689947
64,0.207952599486
65,0.2079894568
66,0.208026261888
67,0.208063014751
68,0.208099715389
69,0.208136363801
70,0.208172959988
71,0.208209503949
72,0.208245995685
73,0.208282435195
74,0.20831882248
75,0.20835515754
76,0.208391440374
77,0.208427670983
78,0.208463849366
79,0.208499975524
80,0.208536049456
81,0.208572071163
82,0.208608040645
83,0.208643957901
84,0.208679822932
85,0.208715635737
86,0.208751396317
87,0.208787104671
88,0.2088227608
89,0.208858364703
90,0.208893916381
91,0.208929415834
92,0.208964863061
93,0.209000258063
94,0.209035600839
95,0.20907089139
96,0.209106129716
97,0.209141315816
98,0.20917644969
99,0.20921153134
100,0.209246560763
101,0.209281537962
102,0.209316462935
103,0.209351335682
104,0.209386156204
105,0.209420924501
106,0.209455640572
107,0.209490304417
108,0.209524916038
109,0.209559475433
110,0.209593982602
111,0.209628437546
112,0.209662840265
113,0.209697190758
114,0.209731489025
115,0.209765735068
116,0.209799928884
117,0.209834070476
118,0.209868159842
119,0.209902196982
120,0.209936181897
121,0.209970114587
122,0.210003995051
123,0.21003782329
124,0.210071599303
125,0.210105323091
126,0.210138994654
127,0.210172613991
128,0.210206181103
129,0.210239695989
130,0.21027315865
131,0.210306569085
132,0.210339927295
133,0.210373233279
134,0.210406487038
135,0.210439688572
136,0.21047283788
137,0.210505934963
138,0.21053897982
139,0.210571972452
140,0.210604912858
141,0.210637801039
142,0.210670636995
143,0.210703420725
144,0.21073615223
145,0.210768831509
146,0.210801458563
147,0.210834033391
148,0.210866555994
149,0.210899026372
150,0.210931444524
151,0.210963810451
152,0.210996124152
153,0.211028385628
154,0.211060594878
155,0.211092751903
156,0.211124856703
157,0.211156909277
158,0.211188909625
159,0.211220857748
160,0.211252753646
161,0.211284597319
162,0.211316388766
163,0.211348127987
164,0.211379814983
165,0.211411449754
166,0.211443032299
167,0.211474562619
168,0.211506040713
169,0.211537466582
170,0.211568840225
171,0.211600161643
172,0.211631430836
173,0.211662647803
174,0.211693812545
175,0.211724925061
176,0.211755985352
177,0.211786993417
178,0.211817949257
179,0.211848852872
180,0.211879704261
181,0.211910503425
182,0.211941250363
183,0.211971945076
184,0.212002587563
185,0.212033177825
186,0.212063715862
187,0.212094201673
188,0.212124635259
189,0.212155016619
190,0.212185345754
191,0.212215622663
192,0.212245847347
193,0.212276019806
194,0.212306140039
195,0.212336208046
196,0.212366223828
197,0.212396187385
198,0.212426098717
199,0.212455957822
200,0.212485764703
201,0.212515519358
202,0.212545221788
203,0.212574871992
204,0.212604469971
205,0.212634015724
206,0.212663509252
207,0.212692950554
208,0.212722339631
209,0.212751676483
210,0.212780961109
211,0.21281019351
212,0.212839373685
213,0.212868501635
214,0.212897577359
215,0.212926600858
216,0.212955572132
217,0.21298449118
218,0.213013358003
219,0.2130421726
220,0.213070934972
221,0.213099645118
222,0.213128303039
223,0.213156908735
224,0.213185462205
225,0.213213963449
226,0.213242412469
227,0.213270809262
228,0.213299153831
229,0.213327446174
230,0.213355686291
231,0.213383874183
232,0.21341200985
233,0.213440093291
234,0.213468124507
235,0.213496103497
236,0.213524030262
237,0.213551904802
238,0.213579727116
239,0.213607497204
240,0.213635215067
241,0.213662880705
242,0.213690494118
243,0.213718055304
244,0.213745564266
245,0.213773021002
246,0.213800425512
247,0.213827777798
248,0.213855077857
249,0.213882325692
250,0.2139095213
251,0.213936664684
252,0.213963755842
253,0.213990794774
254,0.214017781482
255,0.214044715963
256,0.214071598219
257,0.21409842825
258,0.214125206056
259,0.214151931636
260,0.21417860499
261,0.214205226119
262,0.214231795023
263,0.214258311701
264,0.214284776154
265,0.214311188381
266,0.214337548383
267,0.21436385616
268,0.214390111711
269,0.214416315036
270,0.214442466137
271,0.214468565011
272,0.214494611661
273,0.214520606085
274,0.214546548283
275,0.214572438256
276,0.214598276004
277,0.214624061526
278,0.214649794823
279,0.214675475894
280,0.21470110474
281,0.21472668136
282,0.214752205755
283,0.214777677925
284,0.214803097869
285,0.214828465588
286,0.214853781081
287,0.214879044349
288,0.214904255391
289,0.214929414208
290,0.2149545208
291,0.214979575166
292,0.215004577307
293,0.215029527222
294,0.215054424912
295,0.215079270376
296,0.215104063615
297,0.215128804628
298,0.215153493417
299,0.215178129979
300,0.215202714316
301,0.215227246428
302,0.215251726315
303,0.215276153976
304,0.215300529411
305,0.215324852621
306,0.215349123606
307,0.215373342365
308,0.215397508899
309,0.215421623207
