location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
St. Eustatius,11/01/2014 12:00:00 AM,0.08,0.01,0.19,0
Martinique,11/01/2014 12:00:00 AM,1,1,1,1
Fortaleza,11/01/2014 12:00:00 AM,0.07,0.01,0.16,0
Turks & Caicos,11/01/2014 12:00:00 AM,1,1,1,1
Grenada,11/01/2014 12:00:00 AM,1,1,1,1
Grand Rapids,11/01/2014 12:00:00 AM,0,0,0,0
"Greenville, SC, US",11/01/2014 12:00:00 AM,0,0,0,0
Goiania,11/01/2014 12:00:00 AM,0.03,0,0.09,0
Wichita,11/01/2014 12:00:00 AM,0,0,0,0
Indianapolis,11/01/2014 12:00:00 AM,0,0,0,0
Jackson,11/01/2014 12:00:00 AM,0,0,0.05,0
Jamaica,11/01/2014 12:00:00 AM,1,1,1,1
Las Vegas,11/01/2014 12:00:00 AM,0,0,0,0
Lexington,11/01/2014 12:00:00 AM,0,0,0,0
Lima,11/01/2014 12:00:00 AM,0.24,0,0.98,0
Dominican Rep.,11/01/2014 12:00:00 AM,1,1,1,1
Odessa,11/01/2014 12:00:00 AM,0,0,0.01,0
Puerto Rico,11/01/2014 12:00:00 AM,1,1,1,1
Kansas City,11/01/2014 12:00:00 AM,0,0,0,0
Chicago,11/01/2014 12:00:00 AM,0.01,0,0,0
Milwaukee,11/01/2014 12:00:00 AM,0,0,0,0
Montserrat,11/01/2014 12:00:00 AM,1,1,1,1
Minneapolis,11/01/2014 12:00:00 AM,0,0,0,0
St. Kitts & Nevis,11/01/2014 12:00:00 AM,1,1,1,1
Omaha,11/01/2014 12:00:00 AM,0,0,0,0
Norfolk,11/01/2014 12:00:00 AM,0,0,0.01,0
Pittsburgh,11/01/2014 12:00:00 AM,0,0,0,0
Trinidad & Tobago,11/01/2014 12:00:00 AM,1,1,1,1
Guadeloupe,11/01/2014 12:00:00 AM,1,1,1,1
Providence,11/01/2014 12:00:00 AM,0,0,0,0
Richmond,11/01/2014 12:00:00 AM,0,0,0.01,0
"Rochester, NY, US",11/01/2014 12:00:00 AM,0,0,0,0
Saba,11/01/2014 12:00:00 AM,0.05,0.01,0.13,0
St. Barthelemy,11/01/2014 12:00:00 AM,1,1,1,1
Seattle,11/01/2014 12:00:00 AM,0,0,0,0
St. Martin,11/01/2014 12:00:00 AM,1,1,1,1
Salt Lake City,11/01/2014 12:00:00 AM,0,0,0,0
St. Lucia,11/01/2014 12:00:00 AM,1,1,1,1
USVI,11/01/2014 12:00:00 AM,1,1,1,1
Syracuse,11/01/2014 12:00:00 AM,0,0,0,0
Tulsa,11/01/2014 12:00:00 AM,0,0,0.03,0
Knoxville,11/01/2014 12:00:00 AM,0,0,0,0
Ottawa,11/01/2014 12:00:00 AM,0,0,0,0
Quebec City,11/01/2014 12:00:00 AM,0,0,0,0
Toronto,11/01/2014 12:00:00 AM,0.01,0,0,0
Montreal,11/01/2014 12:00:00 AM,0,0,0,0
Colombia,11/01/2014 12:00:00 AM,1,1,1,1
Florida,11/01/2014 12:00:00 AM,1,1,1,1
Amapa,11/01/2014 12:00:00 AM,1,1,1,1
Bahia,11/01/2014 12:00:00 AM,1,1,1,1
Guatemala,11/01/2014 12:00:00 AM,1,1,1,1
Costa Rica,11/01/2014 12:00:00 AM,1,1,1,1
Bahamas,11/01/2014 12:00:00 AM,1,1,1,1
French Guiana,11/01/2014 12:00:00 AM,1,1,1,1
Guyana,11/01/2014 12:00:00 AM,1,1,1,1
Suriname,11/01/2014 12:00:00 AM,1,1,1,1
Venezuela,11/01/2014 12:00:00 AM,1,1,1,1
El Salvador,11/01/2014 12:00:00 AM,1,1,1,1
Panama,11/01/2014 12:00:00 AM,1,1,1,1
Minas Gerais,11/01/2014 12:00:00 AM,1,1,1,1
Honduras,11/01/2014 12:00:00 AM,1,1,1,1
Nicaragua,11/01/2014 12:00:00 AM,1,1,1,1
Mato Grosso do Sul,11/01/2014 12:00:00 AM,1,1,1,1
Paraguay,11/01/2014 12:00:00 AM,1,1,1,1
Atlantic City,12/01/2014 12:00:00 AM,0,0,0,0
Buenos Aires,12/01/2014 12:00:00 AM,0.66,0,1,0
Antigua,12/01/2014 12:00:00 AM,1,1,1,1
Aruba,12/01/2014 12:00:00 AM,1,1,1,1
Anguilla,12/01/2014 12:00:00 AM,1,1,1,1
Hartford,12/01/2014 12:00:00 AM,0,0,0,0
Barbados,12/01/2014 12:00:00 AM,1,1,1,1
"Birmingham, US",12/01/2014 12:00:00 AM,0,0,0,0
Nashville,12/01/2014 12:00:00 AM,0,0,0,0
Buffalo,12/01/2014 12:00:00 AM,0,0,0,0
Baltimore,12/01/2014 12:00:00 AM,0,0,0,0
Belize,12/01/2014 12:00:00 AM,1,1,1,1
Akron,12/01/2014 12:00:00 AM,0,0,0,0
Haiti,12/01/2014 12:00:00 AM,1,1,1,1
Sao Paulo,12/01/2014 12:00:00 AM,0.78,0,1,0
St. Vincent & Grenadines,12/01/2014 12:00:00 AM,1,1,1,1
Cleveland,12/01/2014 12:00:00 AM,0,0,0,0
Charlotte,12/01/2014 12:00:00 AM,0,0,0,0
"Columbus, OH, US",12/01/2014 12:00:00 AM,0,0,0,0
"Cordoba, AR",12/01/2014 12:00:00 AM,0.25,0.02,0.54,0
Curacao,12/01/2014 12:00:00 AM,1,1,1,1
Cincinnati,12/01/2014 12:00:00 AM,0,0,0,0
Cayman Islands,12/01/2014 12:00:00 AM,1,1,1,1
Dayton,12/01/2014 12:00:00 AM,0,0,0,0
Denver,12/01/2014 12:00:00 AM,0,0,0,0
Dominica,12/01/2014 12:00:00 AM,1,1,1,1
Des Moines,12/01/2014 12:00:00 AM,0,0,0,0
Detroit,12/01/2014 12:00:00 AM,0,0,0,0
BVI,12/01/2014 12:00:00 AM,1,1,1,1
El Paso,12/01/2014 12:00:00 AM,0,0,0,0
Martinique,12/01/2014 12:00:00 AM,1,1,1,1
Turks & Caicos,12/01/2014 12:00:00 AM,1,1,1,1
Grenada,12/01/2014 12:00:00 AM,1,1,1,1
Grand Rapids,12/01/2014 12:00:00 AM,0,0,0,0
Greensboro,12/01/2014 12:00:00 AM,0,0,0,0
"Greenville, SC, US",12/01/2014 12:00:00 AM,0,0,0,0
Goiania,12/01/2014 12:00:00 AM,0.02,0,0.07,0
Huntsville,12/01/2014 12:00:00 AM,0,0,0,0
Wichita,12/01/2014 12:00:00 AM,0,0,0,0
Indianapolis,12/01/2014 12:00:00 AM,0,0,0,0
Jackson,12/01/2014 12:00:00 AM,0,0,0,0
Jamaica,12/01/2014 12:00:00 AM,1,1,1,1
Las Vegas,12/01/2014 12:00:00 AM,0,0,0,0
Lubbock,12/01/2014 12:00:00 AM,0,0,0,0
Lexington,12/01/2014 12:00:00 AM,0,0,0,0
Little Rock,12/01/2014 12:00:00 AM,0,0,0,0
Dominican Rep.,12/01/2014 12:00:00 AM,1,1,1,1
Odessa,12/01/2014 12:00:00 AM,0,0,0,0
Puerto Rico,12/01/2014 12:00:00 AM,1,1,1,1
Kansas City,12/01/2014 12:00:00 AM,0,0,0,0
Chicago,12/01/2014 12:00:00 AM,0,0,0,0
Memphis,12/01/2014 12:00:00 AM,0,0,0,0
Milwaukee,12/01/2014 12:00:00 AM,0,0,0,0
Monroe,12/01/2014 12:00:00 AM,0,0,0,0
Montserrat,12/01/2014 12:00:00 AM,1,1,1,1
Minneapolis,12/01/2014 12:00:00 AM,0,0,0,0
St. Kitts & Nevis,12/01/2014 12:00:00 AM,1,1,1,1
Oklahoma City,12/01/2014 12:00:00 AM,0,0,0,0
Omaha,12/01/2014 12:00:00 AM,0,0,0,0
Norfolk,12/01/2014 12:00:00 AM,0,0,0,0
Philadelphia,12/01/2014 12:00:00 AM,0,0,0,0
Pittsburgh,12/01/2014 12:00:00 AM,0,0,0,0
Trinidad & Tobago,12/01/2014 12:00:00 AM,1,1,1,1
Guadeloupe,12/01/2014 12:00:00 AM,1,1,1,1
Providence,12/01/2014 12:00:00 AM,0,0,0,0
Recife,12/01/2014 12:00:00 AM,0.11,0.01,0.26,0
Richmond,12/01/2014 12:00:00 AM,0,0,0,0
"Rochester, NY, US",12/01/2014 12:00:00 AM,0,0,0,0
St. Barthelemy,12/01/2014 12:00:00 AM,1,1,1,1
Louisville,12/01/2014 12:00:00 AM,0,0,0,0
Seattle,12/01/2014 12:00:00 AM,0,0,0,0
St. Martin,12/01/2014 12:00:00 AM,1,1,1,1
Salt Lake City,12/01/2014 12:00:00 AM,0,0,0,0
St. Lucia,12/01/2014 12:00:00 AM,1,1,1,1
St. Louis,12/01/2014 12:00:00 AM,0,0,0,0
USVI,12/01/2014 12:00:00 AM,1,1,1,1
Syracuse,12/01/2014 12:00:00 AM,0,0,0,0
Tulsa,12/01/2014 12:00:00 AM,0,0,0,0
Knoxville,12/01/2014 12:00:00 AM,0,0,0,0
Springdale,12/01/2014 12:00:00 AM,0,0,0,0
Ottawa,12/01/2014 12:00:00 AM,0,0,0,0
Quebec City,12/01/2014 12:00:00 AM,0,0,0,0
Toronto,12/01/2014 12:00:00 AM,0,0,0,0
Montreal,12/01/2014 12:00:00 AM,0,0,0,0
Colombia,12/01/2014 12:00:00 AM,1,1,1,1
Florida,12/01/2014 12:00:00 AM,1,1,1,1
Amapa,12/01/2014 12:00:00 AM,1,1,1,1
Bahia,12/01/2014 12:00:00 AM,1,1,1,1
Guatemala,12/01/2014 12:00:00 AM,1,1,1,1
Costa Rica,12/01/2014 12:00:00 AM,1,1,1,1
Bahamas,12/01/2014 12:00:00 AM,1,1,1,1
French Guiana,12/01/2014 12:00:00 AM,1,1,1,1
Guyana,12/01/2014 12:00:00 AM,1,1,1,1
Suriname,12/01/2014 12:00:00 AM,1,1,1,1
Venezuela,12/01/2014 12:00:00 AM,1,1,1,1
El Salvador,12/01/2014 12:00:00 AM,1,1,1,1
Panama,12/01/2014 12:00:00 AM,1,1,1,1
Minas Gerais,12/01/2014 12:00:00 AM,1,1,1,1
Honduras,12/01/2014 12:00:00 AM,1,1,1,1
Nicaragua,12/01/2014 12:00:00 AM,1,1,1,1
Mato Grosso do Sul,12/01/2014 12:00:00 AM,1,1,1,1
Ecuador,12/01/2014 12:00:00 AM,1,1,1,1
Paraguay,12/01/2014 12:00:00 AM,1,1,1,1
Atlantic City,01/01/2015 12:00:00 AM,0,0,0,0
Buenos Aires,01/01/2015 12:00:00 AM,0.79,0,1,0
Antigua,01/01/2015 12:00:00 AM,1,1,1,1
Atlanta,01/01/2015 12:00:00 AM,0,0,0,0
Aruba,01/01/2015 12:00:00 AM,1,1,1,1
Austin,01/01/2015 12:00:00 AM,0,0,0.01,0
Anguilla,01/01/2015 12:00:00 AM,1,1,1,1
Phoenix,01/01/2015 12:00:00 AM,0.01,0,0.07,0
Hartford,01/01/2015 12:00:00 AM,0,0,0,0
Barbados,01/01/2015 12:00:00 AM,1,1,1,1
"Birmingham, US",01/01/2015 12:00:00 AM,0,0,0,0
Nashville,01/01/2015 12:00:00 AM,0,0,0,0
Boston,01/01/2015 12:00:00 AM,0,0,0,0
Buffalo,01/01/2015 12:00:00 AM,0,0,0,0
Baltimore,01/01/2015 12:00:00 AM,0,0,0,0
Belize,01/01/2015 12:00:00 AM,1,1,1,1
Akron,01/01/2015 12:00:00 AM,0,0,0,0
Haiti,01/01/2015 12:00:00 AM,1,1,1,1
"Charleston, SC, US",01/01/2015 12:00:00 AM,0,0,0.02,0
St. Vincent & Grenadines,01/01/2015 12:00:00 AM,1,1,1,1
Cleveland,01/01/2015 12:00:00 AM,0,0,0,0
Charlotte,01/01/2015 12:00:00 AM,0,0,0,0
"Columbus, OH, US",01/01/2015 12:00:00 AM,0,0,0,0
Curacao,01/01/2015 12:00:00 AM,1,1,1,1
Cincinnati,01/01/2015 12:00:00 AM,0,0,0,0
Cayman Islands,01/01/2015 12:00:00 AM,1,1,1,1
Cuba,01/01/2015 12:00:00 AM,0.81,0,1,0
Dayton,01/01/2015 12:00:00 AM,0,0,0,0
Washington DC,01/01/2015 12:00:00 AM,0,0,0,0
Denver,01/01/2015 12:00:00 AM,0,0,0,0
Dominica,01/01/2015 12:00:00 AM,1,1,1,1
Des Moines,01/01/2015 12:00:00 AM,0,0,0,0
Detroit,01/01/2015 12:00:00 AM,0,0,0,0
BVI,01/01/2015 12:00:00 AM,1,1,1,1
El Paso,01/01/2015 12:00:00 AM,0,0,0,0
St. Eustatius,01/01/2015 12:00:00 AM,0,0,0,0
New York,01/01/2015 12:00:00 AM,0.01,0,0,0
Martinique,01/01/2015 12:00:00 AM,1,1,1,1
Turks & Caicos,01/01/2015 12:00:00 AM,1,1,1,1
Grenada,01/01/2015 12:00:00 AM,1,1,1,1
Grand Rapids,01/01/2015 12:00:00 AM,0,0,0,0
Greensboro,01/01/2015 12:00:00 AM,0,0,0,0
"Greenville, SC, US",01/01/2015 12:00:00 AM,0,0,0,0
Huntsville,01/01/2015 12:00:00 AM,0,0,0,0
Wichita,01/01/2015 12:00:00 AM,0,0,0,0
Indianapolis,01/01/2015 12:00:00 AM,0,0,0,0
Jackson,01/01/2015 12:00:00 AM,0,0,0,0
Jamaica,01/01/2015 12:00:00 AM,1,1,1,1
Las Vegas,01/01/2015 12:00:00 AM,0,0,0,0
Lubbock,01/01/2015 12:00:00 AM,0,0,0,0
Lexington,01/01/2015 12:00:00 AM,0,0,0,0
Little Rock,01/01/2015 12:00:00 AM,0,0,0,0
Montreal,01/01/2015 12:00:00 AM,0,0,0,0
Dominican Rep.,01/01/2015 12:00:00 AM,1,1,1,1
Odessa,01/01/2015 12:00:00 AM,0,0,0,0
Puerto Rico,01/01/2015 12:00:00 AM,1,1,1,1
Kansas City,01/01/2015 12:00:00 AM,0,0,0,0
Chicago,01/01/2015 12:00:00 AM,0,0,0,0
Memphis,01/01/2015 12:00:00 AM,0,0,0,0
Milwaukee,01/01/2015 12:00:00 AM,0,0,0,0
Monroe,01/01/2015 12:00:00 AM,0,0,0,0
Montserrat,01/01/2015 12:00:00 AM,1,1,1,1
Minneapolis,01/01/2015 12:00:00 AM,0,0,0,0
St. Kitts & Nevis,01/01/2015 12:00:00 AM,1,1,1,1
Oklahoma City,01/01/2015 12:00:00 AM,0,0,0,0
Omaha,01/01/2015 12:00:00 AM,0,0,0,0
Norfolk,01/01/2015 12:00:00 AM,0,0,0,0
Philadelphia,01/01/2015 12:00:00 AM,0,0,0,0
Pittsburgh,01/01/2015 12:00:00 AM,0,0,0,0
Trinidad & Tobago,01/01/2015 12:00:00 AM,1,1,1,1
Guadeloupe,01/01/2015 12:00:00 AM,1,1,1,1
Providence,01/01/2015 12:00:00 AM,0,0,0,0
Raleigh,01/01/2015 12:00:00 AM,0,0,0,0
Richmond,01/01/2015 12:00:00 AM,0,0,0,0
"Rochester, NY, US",01/01/2015 12:00:00 AM,0,0,0,0
Saba,01/01/2015 12:00:00 AM,0,0,0.01,0
San Diego,01/01/2015 12:00:00 AM,0,0,0.06,0
"San Antonio, US",01/01/2015 12:00:00 AM,0,0,0.01,0
St. Barthelemy,01/01/2015 12:00:00 AM,1,1,1,1
Louisville,01/01/2015 12:00:00 AM,0,0,0,0
Seattle,01/01/2015 12:00:00 AM,0,0,0,0
St. Martin,01/01/2015 12:00:00 AM,1,1,1,1
Salt Lake City,01/01/2015 12:00:00 AM,0,0,0,0
St. Lucia,01/01/2015 12:00:00 AM,1,1,1,1
St. Louis,01/01/2015 12:00:00 AM,0,0,0,0
USVI,01/01/2015 12:00:00 AM,1,1,1,1
Syracuse,01/01/2015 12:00:00 AM,0,0,0,0
Tulsa,01/01/2015 12:00:00 AM,0,0,0,0
Knoxville,01/01/2015 12:00:00 AM,0,0,0,0
Springdale,01/01/2015 12:00:00 AM,0,0,0,0
Ottawa,01/01/2015 12:00:00 AM,0,0,0,0
Quebec City,01/01/2015 12:00:00 AM,0,0,0,0
Toronto,01/01/2015 12:00:00 AM,0,0,0,0
Colombia,01/01/2015 12:00:00 AM,1,1,1,1
Florida,01/01/2015 12:00:00 AM,1,1,1,1
Amapa,01/01/2015 12:00:00 AM,1,1,1,1
Bahia,01/01/2015 12:00:00 AM,1,1,1,1
Guatemala,01/01/2015 12:00:00 AM,1,1,1,1
Costa Rica,01/01/2015 12:00:00 AM,1,1,1,1
Bahamas,01/01/2015 12:00:00 AM,1,1,1,1
French Guiana,01/01/2015 12:00:00 AM,1,1,1,1
Guyana,01/01/2015 12:00:00 AM,1,1,1,1
Suriname,01/01/2015 12:00:00 AM,1,1,1,1
Venezuela,01/01/2015 12:00:00 AM,1,1,1,1
El Salvador,01/01/2015 12:00:00 AM,1,1,1,1
Panama,01/01/2015 12:00:00 AM,1,1,1,1
Minas Gerais,01/01/2015 12:00:00 AM,1,1,1,1
Honduras,01/01/2015 12:00:00 AM,1,1,1,1
Nicaragua,01/01/2015 12:00:00 AM,1,1,1,1
Mato Grosso do Sul,01/01/2015 12:00:00 AM,1,1,1,1
Ecuador,01/01/2015 12:00:00 AM,1,1,1,1
Paraguay,01/01/2015 12:00:00 AM,1,1,1,1
"San Antonio, US",12/01/2014 12:00:00 AM,0,0,0.03,0
St. Eustatius,01/01/2014 12:00:00 AM,0.72,0.08,0.99,0
Montserrat,02/01/2015 12:00:00 AM,1,1,1,1
Richmond,02/01/2015 12:00:00 AM,0,0,0,0
St. Eustatius,09/01/2014 12:00:00 AM,0.63,0.14,0.94,0
Dominica,03/01/2015 12:00:00 AM,1,1,1,1
Chicago,03/01/2015 12:00:00 AM,0,0,0,0
Ottawa,03/01/2015 12:00:00 AM,0,0,0,0
Fort Lauderdale,05/01/2014 12:00:00 AM,0.84,0.19,1,0
Merida,12/01/2014 12:00:00 AM,0.03,0,0.09,0
Porto Alegre,07/01/2014 12:00:00 AM,0.03,0,0.44,0
Bonaire,08/01/2014 12:00:00 AM,0.4,0.06,0.72,0
Dayton,03/01/2015 12:00:00 AM,0,0,0,0
Pittsburgh,02/01/2015 12:00:00 AM,0,0,0,0
Chicago,06/01/2014 12:00:00 AM,0.6,0,1,0
Honduras,03/01/2015 12:00:00 AM,1,1,1,1
Medellin,03/01/2014 12:00:00 AM,0.06,0,0.19,0
San Pedro Sula,06/01/2014 12:00:00 AM,0.17,0,0.53,0
Cancun,02/01/2015 12:00:00 AM,0.47,0.03,0.86,0
Medellin,01/01/2014 12:00:00 AM,0.03,0,0.11,0
Lubbock,03/01/2015 12:00:00 AM,0,0,0.01,0
New Orleans,05/01/2014 12:00:00 AM,0.19,0,0.47,0
Costa Rica,03/01/2015 12:00:00 AM,1,1,1,1
Raleigh,08/01/2014 12:00:00 AM,0.7,0.04,0.98,0
Indianapolis,09/01/2014 12:00:00 AM,0.13,0,0.63,0
Syracuse,08/01/2014 12:00:00 AM,0.12,0,0.53,0
"Distrito Federal, BR",06/01/2014 12:00:00 AM,0.24,0,0.68,0
Guatemala City,07/01/2014 12:00:00 AM,0.48,0.01,0.92,0
St. Vincent & Grenadines,02/01/2015 12:00:00 AM,1,1,1,1
Guyana,03/01/2015 12:00:00 AM,1,1,1,1
Saba,02/01/2014 12:00:00 AM,0.69,0.06,0.99,0
Hartford,09/01/2014 12:00:00 AM,0.12,0,0.85,0
Rio de Janeiro,01/01/2014 12:00:00 AM,0.05,0,0.19,0
Amapa,02/01/2015 12:00:00 AM,1,1,1,1
Providence,02/01/2015 12:00:00 AM,0,0,0,0
Memphis,03/01/2015 12:00:00 AM,0,0,0.03,0
Los Angeles,09/01/2014 12:00:00 AM,0.67,0,1,0
Merida,08/01/2014 12:00:00 AM,0.04,0,0.08,0
Charlotte,07/01/2014 12:00:00 AM,0.85,0.04,1,0
Maturin,06/01/2014 12:00:00 AM,0.1,0.01,0.25,0
Buffalo,03/01/2015 12:00:00 AM,0,0,0,0
Turks & Caicos,03/01/2015 12:00:00 AM,1,1,1,1
Hartford,03/01/2015 12:00:00 AM,0,0,0,0
Merida,01/01/2015 12:00:00 AM,0.01,0,0.04,0
Aruba,03/01/2015 12:00:00 AM,1,1,1,1
Belem,02/01/2015 12:00:00 AM,0.77,0.08,0.99,0
Quito,06/01/2014 12:00:00 AM,0.27,0,0.87,0
Cincinnati,02/01/2015 12:00:00 AM,0,0,0,0
Mexico City,03/01/2015 12:00:00 AM,0.28,0,0.99,0
Tulsa,05/01/2014 12:00:00 AM,0.05,0,0.18,0
Santiago,12/01/2013 12:00:00 AM,0,0,0.01,0
St. Kitts & Nevis,03/01/2015 12:00:00 AM,1,1,1,1
Myrtle Beach,02/01/2015 12:00:00 AM,0,0,0.06,0
Montevideo,04/01/2014 12:00:00 AM,0,0,0.04,0
"Valencia, VE",06/01/2014 12:00:00 AM,0.14,0,0.38,0
Syracuse,06/01/2014 12:00:00 AM,0.04,0,0.27,0
Odessa,02/01/2015 12:00:00 AM,0,0,0,0
Antigua,02/01/2015 12:00:00 AM,1,1,1,1
"Columbus, OH, US",08/01/2014 12:00:00 AM,0.41,0,0.88,0
Los Angeles,07/01/2014 12:00:00 AM,0.69,0,1,0
Lexington,02/01/2015 12:00:00 AM,0,0,0,0
Bahamas,03/01/2015 12:00:00 AM,1,1,1,1
Santiago,12/01/2014 12:00:00 AM,0.15,0,0.89,0
Oaxaca,01/01/2015 12:00:00 AM,1,1,1,1
Chicago,02/01/2015 12:00:00 AM,0,0,0,0
El Paso,02/01/2015 12:00:00 AM,0,0,0,0
Rio de Janeiro,04/01/2014 12:00:00 AM,0.04,0,0.2,0
Grand Rapids,03/01/2015 12:00:00 AM,0,0,0,0
"Distrito Federal, BR",12/01/2014 12:00:00 AM,0.21,0,0.53,0
Montserrat,03/01/2015 12:00:00 AM,1,1,1,1
Syracuse,03/01/2015 12:00:00 AM,0,0,0,0
Sinaloa,03/01/2015 12:00:00 AM,1,1,1,1
Montevideo,03/01/2014 12:00:00 AM,0.07,0,0.27,0
Chicago,04/01/2014 12:00:00 AM,0.01,0,0.02,0
Trinidad & Tobago,03/01/2015 12:00:00 AM,1,1,1,1
San Pedro Sula,08/01/2014 12:00:00 AM,0.27,0,0.73,0
St. Martin,03/01/2015 12:00:00 AM,1,1,1,1
San Diego,03/01/2015 12:00:00 AM,0.01,0,0.15,0
Dominica,02/01/2015 12:00:00 AM,1,1,1,1
Florida,03/01/2015 12:00:00 AM,1,1,1,1
Santiago,03/01/2014 12:00:00 AM,0.01,0,0.11,0
Martinique,02/01/2015 12:00:00 AM,1,1,1,1
Montevideo,06/01/2014 12:00:00 AM,0.01,0,0.07,0
Myrtle Beach,03/01/2015 12:00:00 AM,0,0,0.05,0
Detroit,02/01/2015 12:00:00 AM,0,0,0,0
Rio de Janeiro,11/01/2014 12:00:00 AM,0.36,0,0.93,0
"Columbus, OH, US",07/01/2014 12:00:00 AM,0.51,0,0.95,0
St. Louis,05/01/2014 12:00:00 AM,0.1,0,0.61,0
San Pedro Sula,05/01/2014 12:00:00 AM,0.06,0,0.18,0
Louisville,02/01/2015 12:00:00 AM,0,0,0,0
Houston,12/01/2013 12:00:00 AM,0,0,0.01,0
Lubbock,02/01/2015 12:00:00 AM,0,0,0,0
St. Eustatius,12/01/2013 12:00:00 AM,0.18,0.01,0.43,0
"Columbus, OH, US",02/01/2015 12:00:00 AM,0,0,0,0
Belize,07/01/2014 12:00:00 AM,0.06,0,0.16,0
Lubbock,11/01/2014 12:00:00 AM,0,0,0.01,0
Paraguay,03/01/2015 12:00:00 AM,1,1,1,1
"Cordoba, AR",02/01/2015 12:00:00 AM,0.16,0,0.41,0
Salvador,08/01/2014 12:00:00 AM,0.06,0,0.3,0
New York,03/01/2015 12:00:00 AM,0.02,0,0,0
USVI,03/01/2015 12:00:00 AM,1,1,1,1
Raleigh,02/01/2015 12:00:00 AM,0,0,0,0
Belize,09/01/2014 12:00:00 AM,0.03,0,0.08,0
Roraima,03/01/2015 12:00:00 AM,1,1,1,1
Merida,03/01/2015 12:00:00 AM,0.05,0,0.12,0
Tulsa,03/01/2015 12:00:00 AM,0,0,0.03,0
Anguilla,02/01/2015 12:00:00 AM,1,1,1,1
St. Lucia,02/01/2014 12:00:00 AM,0.74,0.07,0.99,0
"Rochester, NY, US",06/01/2014 12:00:00 AM,0.06,0,0.39,0
Philadelphia,03/01/2015 12:00:00 AM,0,0,0,0
Fort Lauderdale,06/01/2014 12:00:00 AM,1,0.75,1,0
Belem,11/01/2014 12:00:00 AM,0.75,0.13,0.98,0
Milwaukee,02/01/2015 12:00:00 AM,0,0,0,0
Georgetown,12/01/2013 12:00:00 AM,0.02,0,0.05,0
Huntsville,03/01/2015 12:00:00 AM,0,0,0,0
Austin,01/01/2014 12:00:00 AM,0,0,0,0
Colombia,03/01/2015 12:00:00 AM,1,1,1,1
Saba,03/01/2015 12:00:00 AM,0.07,0,0.19,0
"Cordoba, AR",03/01/2015 12:00:00 AM,0.09,0,0.29,0
Dallas,03/01/2015 12:00:00 AM,0.09,0,0.82,0
Detroit,04/01/2014 12:00:00 AM,0,0,0.01,0
Denver,03/01/2015 12:00:00 AM,0,0,0,0
Houston,12/01/2014 12:00:00 AM,0.07,0,0.54,0
Fort Lauderdale,04/01/2014 12:00:00 AM,0.44,0.01,0.86,0
Mato Grosso do Sul,03/01/2015 12:00:00 AM,1,1,1,1
"San Antonio, US",05/01/2014 12:00:00 AM,0.11,0,0.29,0
"Columbus, OH, US",04/01/2014 12:00:00 AM,0,0,0.03,0
Milwaukee,03/01/2015 12:00:00 AM,0,0,0,0
"Distrito Federal, BR",11/01/2014 12:00:00 AM,0.4,0.01,0.81,0
Porto Alegre,10/01/2014 12:00:00 AM,0.01,0,0.09,0
Lexington,03/01/2015 12:00:00 AM,0,0,0,0
Rio de Janeiro,02/01/2014 12:00:00 AM,0.03,0,0.12,0
Baltimore,02/01/2015 12:00:00 AM,0,0,0,0
Tulsa,08/01/2014 12:00:00 AM,0.29,0.05,0.56,0
Boston,03/01/2015 12:00:00 AM,0,0,0,0
Savannah,01/01/2015 12:00:00 AM,0,0,0,0
Manaus,10/01/2014 12:00:00 AM,0.05,0,0.13,0
Jackson,02/01/2015 12:00:00 AM,0,0,0,0
Louisville,06/01/2014 12:00:00 AM,0.25,0,0.67,0
Trinidad & Tobago,02/01/2015 12:00:00 AM,1,1,1,1
Cuba,09/01/2014 12:00:00 AM,0.99,0.6,1,0
Dayton,02/01/2015 12:00:00 AM,0,0,0,0
"Distrito Federal, BR",09/01/2014 12:00:00 AM,0.36,0.06,0.68,0
Montreal,03/01/2015 12:00:00 AM,0,0,0,0
Bahia,03/01/2015 12:00:00 AM,1,1,1,1
Barbados,03/01/2015 12:00:00 AM,1,1,1,1
Manaus,07/01/2014 12:00:00 AM,0.13,0.01,0.32,0
Saba,08/01/2014 12:00:00 AM,0.43,0.08,0.77,0
Guadalajara,12/01/2013 12:00:00 AM,0,0,0,0
Norfolk,02/01/2015 12:00:00 AM,0,0,0,0
Guadalajara,02/01/2015 12:00:00 AM,0.12,0,0.36,0
Guatemala City,04/01/2014 12:00:00 AM,0.04,0,0.1,0
Quito,01/01/2014 12:00:00 AM,0.01,0,0.04,0
"San Antonio, US",10/01/2014 12:00:00 AM,0.08,0,0.39,0
Indianapolis,03/01/2015 12:00:00 AM,0,0,0,0
Ecuador,02/01/2015 12:00:00 AM,1,1,1,1
Belize,10/01/2014 12:00:00 AM,0.02,0,0.07,0
Greensboro,02/01/2015 12:00:00 AM,0,0,0,0
Cuba,04/01/2014 12:00:00 AM,0.25,0.01,0.59,0
Philadelphia,06/01/2014 12:00:00 AM,0.59,0,1,0
Merida,12/01/2013 12:00:00 AM,0,0,0,0
Minneapolis,02/01/2015 12:00:00 AM,0,0,0,0
Miami,01/01/2014 12:00:00 AM,0.46,0,1,0
Philadelphia,09/01/2014 12:00:00 AM,0.45,0,1,0
Salvador,05/01/2014 12:00:00 AM,0.03,0,0.1,0
