location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Providence,12/01/2013 12:00:00 AM,0,0,0,0
Raleigh,12/01/2013 12:00:00 AM,0,0,0,0
Recife,12/01/2013 12:00:00 AM,0,0,0,0
Richmond,12/01/2013 12:00:00 AM,0,0,0,0
"Rochester, NY, US",12/01/2013 12:00:00 AM,0,0,0,0
Saba,12/01/2013 12:00:00 AM,0.16,0.01,0.38,0
San Salvador,12/01/2013 12:00:00 AM,0,0,0.01,0
San Diego,12/01/2013 12:00:00 AM,0,0,0,0
San Pedro Sula,12/01/2013 12:00:00 AM,0,0,0,0
"San Antonio, US",12/01/2013 12:00:00 AM,0,0,0,0
Savannah,12/01/2013 12:00:00 AM,0,0,0,0
St. Barthelemy,12/01/2013 12:00:00 AM,1,1,1,1
Louisville,12/01/2013 12:00:00 AM,0,0,0,0
Seattle,12/01/2013 12:00:00 AM,0,0,0,0
St. Martin,12/01/2013 12:00:00 AM,1,1,1,1
San Francisco,12/01/2013 12:00:00 AM,0,0,0,0
"San Jose, CR",12/01/2013 12:00:00 AM,0.01,0,0.02,0
Salt Lake City,12/01/2013 12:00:00 AM,0,0,0,0
St. Lucia,12/01/2013 12:00:00 AM,0.01,0,0.04,0
Salvador,12/01/2013 12:00:00 AM,0,0,0,0
St. Louis,12/01/2013 12:00:00 AM,0,0,0,0
USVI,12/01/2013 12:00:00 AM,0.4,0.04,0.78,0
Syracuse,12/01/2013 12:00:00 AM,0,0,0,0
Tegucigalpa,12/01/2013 12:00:00 AM,0,0,0,0
Tallahassee,12/01/2013 12:00:00 AM,0,0,0,0
Tampa,12/01/2013 12:00:00 AM,0.01,0,0.05,0
Tulsa,12/01/2013 12:00:00 AM,0,0,0,0
Knoxville,12/01/2013 12:00:00 AM,0,0,0,0
Quito,12/01/2013 12:00:00 AM,0,0,0,0
"Valencia, VE",12/01/2013 12:00:00 AM,0,0,0.01,0
Springdale,12/01/2013 12:00:00 AM,0,0,0,0
Ottawa,12/01/2013 12:00:00 AM,0,0,0,0
Quebec City,12/01/2013 12:00:00 AM,0,0,0,0
Toronto,12/01/2013 12:00:00 AM,0,0,0,0
Montreal,12/01/2013 12:00:00 AM,0,0,0,0
Nassau,01/01/2014 12:00:00 AM,0.03,0,0.11,0
Atlantic City,01/01/2014 12:00:00 AM,0,0,0,0
Buenos Aires,01/01/2014 12:00:00 AM,0.08,0,0.27,0
Antigua,01/01/2014 12:00:00 AM,0.71,0.06,0.98,0
Atlanta,01/01/2014 12:00:00 AM,0,0,0,0
Anguilla,01/01/2014 12:00:00 AM,0.36,0.02,0.75,0
Barranquilla,01/01/2014 12:00:00 AM,0.01,0,0.02,0
Hartford,01/01/2014 12:00:00 AM,0,0,0,0
Belem,01/01/2014 12:00:00 AM,0,0,0,0
"Birmingham, US",01/01/2014 12:00:00 AM,0,0,0,0
Nashville,01/01/2014 12:00:00 AM,0,0,0,0
Bogota,01/01/2014 12:00:00 AM,0.01,0,0.11,0
