x,y
532,6.05
533,5.818
534,5.882
535,5.988
536,6.234
537,5.884
538,5.88
539,6.06
540,6.002
541,5.902
542,5.822
543,5.99
544,6.146
545,5.9
546,5.664
547,5.738
548,5.682
549,5.682
550,5.704
551,5.628
552,5.588
553,5.71
554,5.87
555,5.474
556,5.56
557,5.656
558,5.896
559,6.078
560,6.508
561,6.268
562,6.21
563,6.18
564,6.004
565,6.132
566,5.532
567,5.508
568,5.698
569,5.856
570,5.832
571,5.96
572,5.86
573,5.88
574,5.778
575,5.85
576,5.674
577,5.68
578,5.664
579,5.528
580,5.466
581,5.612
582,5.764
583,5.608
584,5.548
585,5.57
586,5.678
587,5.484
588,5.504
589,5.476
590,5.626
591,5.85
592,5.784
593,6.3
594,6.23
595,6.308
596,6.262
597,6.064
598,6.214
599,6.322
600,6.276
601,6.164
602,6.368
603,6.584
604,6.6
605,6.494
606,6.426
607,6.454
608,6.43
609,6.646
610,6.738
611,6.764
612,6.924
613,6.78
614,6.742
615,6.78
616,6.834
617,6.914
618,7.056
619,7.052
620,6.722
621,6.762
622,6.88
623,6.918
624,6.922
625,6.886
626,6.8
627,6.856
628,6.718
629,6.738
630,6.644
631,6.774
632,7.072
633,6.954
634,6.88
635,6.868
636,6.736
637,6.728
638,6.706
639,6.582
640,6.652
641,6.78
642,6.82
643,6.876
644,6.904
645,7.038
646,7.2
647,7.398
648,7.396
649,7.606
650,7.59
651,7.504
652,7.502
653,7.66
654,7.548
655,7.626
656,7.834
657,7.896
658,7.848
659,7.684
660,7.578
661,7.69
662,7.654
663,7.408
664,7.856
665,7.708
666,7.032
667,7.222
668,6.876
669,6.886
670,7.02
671,6.966
672,6.93
673,7.116
674,7.33
675,7.538
676,7.646
677,7.694
678,7.82
679,7.824
680,7.796
681,7.37
682,7.058
683,7.03
684,7.016
685,7.19
686,7.202
687,7.324
688,7.506
689,7.572
690,7.632
691,7.578
692,8.786
693,8.868
694,8.22
695,8.402
696,8.274
697,8.366
698,8.1
699,8.372
700,8.718
701,8.75
702,8.66
703,9.118
704,9.09
705,9.394
706,9.566
